Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1673583865395,13/01/2023 04:24:25,1673583865337,-8,12/01/2023 20:24:25,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1673583868741,13/01/2023 04:24:28,1673583868698,-8,12/01/2023 20:24:28,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,1,1,1,Screen 1,advancementZone,continue_button,3248.7999999970198,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1673583869064,13/01/2023 04:24:29,1673583869046,-8,12/01/2023 20:24:29,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,99,1,1,Screen 2,fixation,fixation,366.7650000000003,,,,,0,1,0,,,,,1,Trial (Noise),i_subj28_f_pisa_228.wav,Babble_194.wav,i,1,,9-A,noise,subj28,f,pisa,228
4,1673583869296,13/01/2023 04:24:29,1673583869083,-8,12/01/2023 20:24:29,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,99,1,2,Screen 1,Zone6,content_web_audio,9.400000005960464,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj28_f_pisa_228.wav,Babble_194.wav,i,1,,9-A,noise,subj28,f,pisa,228
5,1673583869296,13/01/2023 04:24:29,1673583869085,-8,12/01/2023 20:24:29,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,99,1,2,Screen 1,Zone8,content_web_audio,10.900000005960464,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj28_f_pisa_228.wav,Babble_194.wav,i,1,,9-A,noise,subj28,f,pisa,228
6,1673583869296,13/01/2023 04:24:29,1673583869086,-8,12/01/2023 20:24:29,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,99,1,2,Screen 1,Zone7,content_web_audio,12.099999994039536,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj28_f_pisa_228.wav,Babble_194.wav,i,1,,9-A,noise,subj28,f,pisa,228
7,1673583871543,13/01/2023 04:24:31,1673583871486,-8,12/01/2023 20:24:31,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,99,1,2,Screen 1,Zone4,response_button_text,2410.5999999940395,,,i,1,1,0,0,,,,,1,Trial (Noise),i_subj28_f_pisa_228.wav,Babble_194.wav,i,1,,9-A,noise,subj28,f,pisa,228
8,1673583871858,13/01/2023 04:24:31,1673583871851,-8,12/01/2023 20:24:31,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,135,2,1,Screen 2,fixation,fixation,366.84000000000015,,,,,0,1,0,,,,,1,Trial (Noise),o_subj46_f_cosa_140.wav,Babble_124.wav,o,1,,9-A,noise,subj46,f,cosa,140
9,1673583872078,13/01/2023 04:24:32,1673583871894,-8,12/01/2023 20:24:31,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,135,2,2,Screen 1,Zone6,content_web_audio,8.299999997019768,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj46_f_cosa_140.wav,Babble_124.wav,o,1,,9-A,noise,subj46,f,cosa,140
10,1673583872078,13/01/2023 04:24:32,1673583871896,-8,12/01/2023 20:24:31,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,135,2,2,Screen 1,Zone8,content_web_audio,10.600000008940697,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj46_f_cosa_140.wav,Babble_124.wav,o,1,,9-A,noise,subj46,f,cosa,140
11,1673583872078,13/01/2023 04:24:32,1673583871899,-8,12/01/2023 20:24:31,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,135,2,2,Screen 1,Zone7,content_web_audio,13.600000008940697,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj46_f_cosa_140.wav,Babble_124.wav,o,1,,9-A,noise,subj46,f,cosa,140
12,1673583873967,13/01/2023 04:24:33,1673583873953,-8,12/01/2023 20:24:33,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,135,2,2,Screen 1,Zone3,response_button_text,2066.7999999970198,,,o,1,1,0,0,,,,,1,Trial (Noise),o_subj46_f_cosa_140.wav,Babble_124.wav,o,1,,9-A,noise,subj46,f,cosa,140
13,1673583874351,13/01/2023 04:24:34,1673583874315,-8,12/01/2023 20:24:34,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,37,3,1,Screen 2,fixation,fixation,366.7999999999993,,,,,0,1,0,,,,,1,Trial (Noise),a_subj20_m_saco_146.wav,Babble_182.wav,a,1,,9-A,noise,subj20,m,saco,146
14,1673583874560,13/01/2023 04:24:34,1673583874374,-8,12/01/2023 20:24:34,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,37,3,2,Screen 1,Zone6,content_web_audio,8.200000002980232,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj20_m_saco_146.wav,Babble_182.wav,a,1,,9-A,noise,subj20,m,saco,146
15,1673583874560,13/01/2023 04:24:34,1673583874376,-8,12/01/2023 20:24:34,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,37,3,2,Screen 1,Zone8,content_web_audio,10,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj20_m_saco_146.wav,Babble_182.wav,a,1,,9-A,noise,subj20,m,saco,146
16,1673583874560,13/01/2023 04:24:34,1673583874377,-8,12/01/2023 20:24:34,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,37,3,2,Screen 1,Zone7,content_web_audio,11.200000002980232,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj20_m_saco_146.wav,Babble_182.wav,a,1,,9-A,noise,subj20,m,saco,146
17,1673583876291,13/01/2023 04:24:36,1673583876244,-8,12/01/2023 20:24:36,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,37,3,2,Screen 1,Zone1,response_button_text,1876.9000000059605,,,a,1,1,0,0,,,,,1,Trial (Noise),a_subj20_m_saco_146.wav,Babble_182.wav,a,1,,9-A,noise,subj20,m,saco,146
18,1673583876702,13/01/2023 04:24:36,1673583876582,-8,12/01/2023 20:24:36,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,18,4,1,Screen 2,fixation,fixation,350.09699999999975,,,,,0,1,0,,,,,1,Trial (Noise),a_subj16_f_vata_268.wav,Babble_068.wav,a,1,,9-A,noise,subj16,f,vata,268
19,1673583876919,13/01/2023 04:24:36,1673583876622,-8,12/01/2023 20:24:36,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,18,4,2,Screen 1,Zone6,content_web_audio,13.700000002980232,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj16_f_vata_268.wav,Babble_068.wav,a,1,,9-A,noise,subj16,f,vata,268
20,1673583876919,13/01/2023 04:24:36,1673583876624,-8,12/01/2023 20:24:36,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,18,4,2,Screen 1,Zone8,content_web_audio,15.099999994039536,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj16_f_vata_268.wav,Babble_068.wav,a,1,,9-A,noise,subj16,f,vata,268
21,1673583876919,13/01/2023 04:24:36,1673583876625,-8,12/01/2023 20:24:36,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,18,4,2,Screen 1,Zone7,content_web_audio,15.799999997019768,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj16_f_vata_268.wav,Babble_068.wav,a,1,,9-A,noise,subj16,f,vata,268
22,1673583878513,13/01/2023 04:24:38,1673583878470,-8,12/01/2023 20:24:38,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,18,4,2,Screen 1,Zone1,response_button_text,1860.5999999940395,,,a,1,1,0,0,,,,,1,Trial (Noise),a_subj16_f_vata_268.wav,Babble_068.wav,a,1,,9-A,noise,subj16,f,vata,268
23,1673583878812,13/01/2023 04:24:38,1673583878799,-8,12/01/2023 20:24:38,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,163,5,1,Screen 2,fixation,fixation,350.10399999999936,,,,,0,1,0,,,,,1,Trial (Noise),u_subj11_m_buque_315.wav,Babble_007.wav,u,1,,9-A,noise,subj11,m,buque,315
24,1673583879029,13/01/2023 04:24:39,1673583878838,-8,12/01/2023 20:24:38,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,163,5,2,Screen 1,Zone6,content_web_audio,7.700000002980232,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj11_m_buque_315.wav,Babble_007.wav,u,1,,9-A,noise,subj11,m,buque,315
25,1673583879029,13/01/2023 04:24:39,1673583878840,-8,12/01/2023 20:24:38,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,163,5,2,Screen 1,Zone8,content_web_audio,9.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj11_m_buque_315.wav,Babble_007.wav,u,1,,9-A,noise,subj11,m,buque,315
26,1673583879029,13/01/2023 04:24:39,1673583878841,-8,12/01/2023 20:24:38,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,163,5,2,Screen 1,Zone7,content_web_audio,10.700000002980232,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj11_m_buque_315.wav,Babble_007.wav,u,1,,9-A,noise,subj11,m,buque,315
27,1673583880754,13/01/2023 04:24:40,1673583880735,-8,12/01/2023 20:24:40,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,163,5,2,Screen 1,Zone2,response_button_text,1903.2999999970198,,,u,1,1,0,0,,,,,1,Trial (Noise),u_subj11_m_buque_315.wav,Babble_007.wav,u,1,,9-A,noise,subj11,m,buque,315
28,1673583881087,13/01/2023 04:24:41,1673583881066,-8,12/01/2023 20:24:41,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,118,6,1,Screen 2,fixation,fixation,350.10699999999997,,,,,0,1,0,,,,,1,Trial (Noise),i_subj71_m_quita_191.wav,Babble_081.wav,i,1,,9-A,noise,subj71,m,quita,191
29,1673583881303,13/01/2023 04:24:41,1673583881127,-8,12/01/2023 20:24:41,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,118,6,2,Screen 1,Zone6,content_web_audio,14.600000008940697,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj71_m_quita_191.wav,Babble_081.wav,i,1,,9-A,noise,subj71,m,quita,191
30,1673583881303,13/01/2023 04:24:41,1673583881130,-8,12/01/2023 20:24:41,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,118,6,2,Screen 1,Zone8,content_web_audio,17,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj71_m_quita_191.wav,Babble_081.wav,i,1,,9-A,noise,subj71,m,quita,191
31,1673583881303,13/01/2023 04:24:41,1673583881131,-8,12/01/2023 20:24:41,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,118,6,2,Screen 1,Zone7,content_web_audio,18.400000005960464,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj71_m_quita_191.wav,Babble_081.wav,i,1,,9-A,noise,subj71,m,quita,191
32,1673583882753,13/01/2023 04:24:42,1673583882731,-8,12/01/2023 20:24:42,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,118,6,2,Screen 1,Zone4,response_button_text,1616.9000000059605,,,i,1,1,0,0,,,,,1,Trial (Noise),i_subj71_m_quita_191.wav,Babble_081.wav,i,1,,9-A,noise,subj71,m,quita,191
33,1673583883088,13/01/2023 04:24:43,1673583883067,-8,12/01/2023 20:24:43,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,11,7,1,Screen 2,fixation,fixation,350.02100000000064,,,,,0,1,0,,,,,1,Trial (Noise),a_subj39_f_vaso_110.wav,Babble_016.wav,a,1,,9-A,noise,subj39,f,vaso,110
34,1673583883302,13/01/2023 04:24:43,1673583883110,-8,12/01/2023 20:24:43,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,11,7,2,Screen 1,Zone6,content_web_audio,7.0999999940395355,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj39_f_vaso_110.wav,Babble_016.wav,a,1,,9-A,noise,subj39,f,vaso,110
35,1673583883302,13/01/2023 04:24:43,1673583883112,-8,12/01/2023 20:24:43,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,11,7,2,Screen 1,Zone8,content_web_audio,9.299999997019768,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj39_f_vaso_110.wav,Babble_016.wav,a,1,,9-A,noise,subj39,f,vaso,110
36,1673583883302,13/01/2023 04:24:43,1673583883113,-8,12/01/2023 20:24:43,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,11,7,2,Screen 1,Zone7,content_web_audio,10.299999997019768,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj39_f_vaso_110.wav,Babble_016.wav,a,1,,9-A,noise,subj39,f,vaso,110
37,1673583886165,13/01/2023 04:24:46,1673583885101,-8,12/01/2023 20:24:45,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,11,7,2,Screen 1,Zone1,response_button_text,1995.7999999970198,,,a,1,1,0,0,,,,,1,Trial (Noise),a_subj39_f_vaso_110.wav,Babble_016.wav,a,1,,9-A,noise,subj39,f,vaso,110
38,1673583886400,13/01/2023 04:24:46,1673583885435,-8,12/01/2023 20:24:45,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,144,8,1,Screen 2,fixation,fixation,350.137999999999,,,,,0,1,0,,,,,1,Trial (Noise),o_subj74_m_toca_59.wav,Babble_026.wav,o,1,,9-A,noise,subj74,m,toca,59
39,1673583886400,13/01/2023 04:24:46,1673583885474,-8,12/01/2023 20:24:45,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,144,8,2,Screen 1,Zone6,content_web_audio,9.400000005960464,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj74_m_toca_59.wav,Babble_026.wav,o,1,,9-A,noise,subj74,m,toca,59
40,1673583886400,13/01/2023 04:24:46,1673583885476,-8,12/01/2023 20:24:45,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,144,8,2,Screen 1,Zone8,content_web_audio,11.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj74_m_toca_59.wav,Babble_026.wav,o,1,,9-A,noise,subj74,m,toca,59
41,1673583886400,13/01/2023 04:24:46,1673583885478,-8,12/01/2023 20:24:45,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,144,8,2,Screen 1,Zone7,content_web_audio,12.799999997019768,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj74_m_toca_59.wav,Babble_026.wav,o,1,,9-A,noise,subj74,m,toca,59
42,1673583887390,13/01/2023 04:24:47,1673583887343,-8,12/01/2023 20:24:47,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,144,8,2,Screen 1,Zone3,response_button_text,1878.2000000029802,,,o,1,1,0,0,,,,,1,Trial (Noise),o_subj74_m_toca_59.wav,Babble_026.wav,o,1,,9-A,noise,subj74,m,toca,59
43,1673583887778,13/01/2023 04:24:47,1673583887702,-8,12/01/2023 20:24:47,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,138,9,1,Screen 2,fixation,fixation,366.8189999999995,,,,,0,1,0,,,,,1,Trial (Noise),o_subj12_f_voto_91.wav,Babble_199.wav,o,1,,9-A,noise,subj12,f,voto,91
44,1673583887778,13/01/2023 04:24:47,1673583887742,-8,12/01/2023 20:24:47,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,138,9,2,Screen 1,Zone6,content_web_audio,7.200000002980232,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj12_f_voto_91.wav,Babble_199.wav,o,1,,9-A,noise,subj12,f,voto,91
45,1673583887778,13/01/2023 04:24:47,1673583887744,-8,12/01/2023 20:24:47,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,138,9,2,Screen 1,Zone8,content_web_audio,9.299999997019768,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj12_f_voto_91.wav,Babble_199.wav,o,1,,9-A,noise,subj12,f,voto,91
46,1673583887778,13/01/2023 04:24:47,1673583887745,-8,12/01/2023 20:24:47,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,138,9,2,Screen 1,Zone7,content_web_audio,10.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj12_f_voto_91.wav,Babble_199.wav,o,1,,9-A,noise,subj12,f,voto,91
47,1673583889619,13/01/2023 04:24:49,1673583889600,-8,12/01/2023 20:24:49,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,138,9,2,Screen 1,Zone2,response_button_text,1864.5999999940395,,,u,1,0,1,0,,,,,1,Trial (Noise),o_subj12_f_voto_91.wav,Babble_199.wav,o,1,,9-A,noise,subj12,f,voto,91
48,1673583889963,13/01/2023 04:24:49,1673583889935,-8,12/01/2023 20:24:49,92237,23,task-p2ei,,26358022,BLIND,7780783,,complete,,63c0db039140ee2c972418bf,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1664x1110,1664x959,,Audio Naming Task,27,Block 9-A,soundCheckPassed,9-A,9-A,64,10,1,Screen 2,fixation,fixation,350.1409999999996,,,,,0,1,0,,,,,1,Trial (Noise),e_subj16_f_vete_200.wav,Babble_197.wav,e,1,,9-A,noise,subj16,f,vete,200
